Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA 3.2TL,3.2,6,Auto-L5,2WD,Gasoline,CL,ULEV,ULEV,YHNXV03.2GL4,midsize car,3,14,23,17,4,no
ACURA 3.2TL,3.2,6,Auto-L5,2WD,Gasoline,NL,LEV,LEV,YHNXV03.2GF3,midsize car,2,14,23,17,4,no
ACURA 3.5RL,3.5,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YHNXV03.5YA3,midsize car,2,13,19,15,3,no
ACURA Integra,1.8,4,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YHNXV01.8WA2,small car,1,17,24,19,5,no
ACURA Integra,1.8,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YHNXV01.8WA2,small car,1,17,24,19,5,no
ACURA Integra,1.8,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YHNXV01.8XA2,small car,1,17,24,19,5,no
ACURA Integra,1.8,4,Man-5,2WD,Gasoline,CL,T1,TIER 1,YHNXV01.8XA1,small car,0,17,24,19,5,no
ACURA NSX,3,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YHNXV03.2AA3,small car,2,13,19,15,3,no
ACURA NSX,3.2,6,Man-6,2WD,Gasoline,CL,LEV,LEV,YHNXV03.2AA3,small car,2,13,19,15,3,no
ASTON MARTIN DB-7 Vantage,5.9,12,Auto-L5,2WD,Gasoline,CL,T1,TIER 1,YASXX05.9DB7,small car,0,8,15,10,0,no
ASTON MARTIN DB-7 Vantage,5.9,12,Man-6,2WD,Gasoline,CL,T1,TIER 1,YASXX05.9DB7,small car,0,8,15,10,0,no
ASTON MARTIN DB-7 Vantage Volante,5.9,12,Auto-L5,2WD,Gasoline,CL,T1,TIER 1,YASXX05.9DB7,small car,0,8,15,10,0,no
ASTON MARTIN DB-7 Vantage Volante,5.9,12,Man-6,2WD,Gasoline,CL,T1,TIER 1,YASXX05.9DB7,small car,0,8,15,10,0,no
AUDI A4,1.8,4,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV01.8332,small car,2,14,22,16,4,no
AUDI A4,1.8,4,Auto-L5,2WD,Gasoline,CL,LEV,LEV,YADXV01.8332,small car,2,14,24,18,5,no
AUDI A4,1.8,4,Man-5,4WD,Gasoline,CL,LEV,LEV,YADXV01.8332,small car,2,15,22,18,5,no
AUDI A4,1.8,4,Man-5,2WD,Gasoline,CL,LEV,LEV,YADXV01.8332,small car,2,17,25,20,6,no
AUDI A4,2.8,6,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,small car,2,13,19,15,3,no
AUDI A4,2.8,6,Man-5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,small car,2,13,19,15,3,no
AUDI A4,2.8,6,Auto-L5,2WD,Gasoline,CL,LEV,LEV,YADXV02.8334,small car,2,13,20,15,3,no
AUDI A4,2.8,6,Man-5,2WD,Gasoline,CL,LEV,LEV,YADXV02.8334,small car,2,14,22,17,4,no
AUDI A4 Avant,1.8,4,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV01.8332,station wagon,2,14,22,16,4,no
AUDI A4 Avant,1.8,4,Man-5,4WD,Gasoline,CL,LEV,LEV,YADXV01.8332,station wagon,2,15,22,18,5,no
AUDI A4 Avant,2.8,6,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,station wagon,2,13,19,15,3,no
AUDI A4 Avant,2.8,6,Man-5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,station wagon,2,13,19,15,3,no
AUDI A4 Avant,2.8,6,Auto-L5,2WD,Gasoline,CL,LEV,LEV,YADXV02.8334,station wagon,2,13,20,15,3,no
AUDI A6,2.8,6,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,midsize car,2,13,19,15,3,no
AUDI A6,2.8,6,Man-5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,midsize car,2,13,19,15,3,no
AUDI A6,2.8,6,Auto-L5,2WD,Gasoline,CL,LEV,LEV,YADXV02.8334,midsize car,2,13,20,15,3,no
AUDI A6,2.7,6,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV02.7339,midsize car,1,13,19,15,3,no
AUDI A6,2.7,6,Man-6,4WD,Gasoline,CL,TLEV,TLEV,YADXV02.7333,midsize car,1,13,19,15,3,no
AUDI A6,2.8,6,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV02.8324,midsize car,1,13,19,15,3,no
AUDI A6,2.8,6,Auto-L5,2WD,Gasoline,CL,TLEV,TLEV,YADXV02.8324,midsize car,1,13,20,15,3,no
AUDI A6,4.2,8,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV04.2335,midsize car,1,13,19,15,3,no
AUDI A6 Avant,2.8,6,Auto-L5,4WD,Gasoline,CL,LEV,LEV,YADXV02.8334,station wagon,2,13,19,15,3,no
AUDI A6 Avant,2.8,6,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV02.8324,station wagon,1,13,19,15,3,no
AUDI A8,4.2,8,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV04.2335,midsize car,1,13,19,15,3,no
AUDI A8 L,4.2,8,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV04.2335,large car,1,13,19,15,3,no
AUDI S4,2.7,6,Auto-L5,4WD,Gasoline,CL,TLEV,TLEV,YADXV02.7339,small car,1,13,19,15,3,no
